client_profit_center_id,fiscal_year,month,volume
71,2024,6,14
72,2023,11,7
72,2024,7,0
73,2023,11,1
74,2023,9,16
74,2024,5,6
74,2025,3,10
74,2025,5,34
984,2022,7,4
75,2022,4,27
75,2022,5,113
75,2022,6,13
75,2022,7,16
75,2022,8,39
75,2022,9,11
75,2022,10,7
75,2022,11,49
75,2022,12,10
75,2023,1,17
75,2023,2,58
75,2023,3,155
75,2023,4,42
75,2023,5,8
75,2023,6,111
75,2023,7,141
75,2023,8,52
75,2023,9,91
75,2023,10,94
75,2023,11,9
75,2023,12,7
75,2024,2,109
75,2024,3,68
75,2024,4,22
75,2024,5,45
75,2024,6,1
75,2024,7,50
75,2024,8,61
75,2024,9,16
75,2024,10,86
75,2024,11,13
75,2024,12,10
75,2025,2,9
75,2025,3,3
75,2025,4,136
75,2025,5,139
76,2022,5,13
76,2022,9,30
76,2023,4,8
76,2024,9,35
76,2024,11,8
77,2023,2,17
77,2023,3,3
77,2023,4,14
77,2023,5,20
77,2023,7,6
77,2023,8,6
77,2023,9,13
77,2023,10,10
77,2023,11,13
77,2024,2,13
77,2024,3,13
77,2024,4,10
77,2024,5,10
77,2024,6,3
77,2024,7,10
77,2024,9,7
77,2024,11,7
77,2025,1,10
77,2025,3,7
77,2025,4,6
77,2025,5,3
78,2022,6,3
78,2022,7,3
78,2022,9,4
78,2022,10,82
78,2022,11,4
78,2023,4,57
78,2023,11,17
79,2024,4,35
985,2022,6,16
80,2023,3,33
80,2023,6,0
81,2023,6,204
81,2023,9,204
82,2022,4,40
82,2022,5,40
82,2022,6,50
82,2022,8,28
82,2022,10,84
82,2023,3,18
82,2023,6,30
82,2023,8,23
82,2023,11,22
82,2024,2,24
82,2024,3,22
82,2024,4,73
82,2024,8,66
82,2024,9,20
82,2024,10,74
82,2025,4,18
83,2022,5,63
83,2022,6,0
83,2022,9,38
83,2022,10,15
83,2023,3,40
83,2023,4,63
83,2023,8,26
83,2023,10,29
83,2023,11,39
83,2024,4,115
83,2024,6,27
83,2024,8,65
84,2022,6,54
84,2023,2,20
84,2023,8,62
84,2023,9,45
84,2024,2,39
84,2024,3,54
84,2024,4,25
84,2024,12,23
85,2022,5,68
85,2022,6,10
85,2023,3,20
85,2023,4,6
85,2023,7,23
85,2023,9,45
85,2024,2,28
85,2024,5,3
85,2024,6,0
85,2024,9,16
85,2025,4,38
85,2025,5,50
86,2025,2,22
87,2022,4,4
87,2023,8,31
87,2024,9,4
88,2022,5,11
88,2022,7,23
88,2022,9,4
88,2022,10,3
88,2022,11,4
88,2023,1,7
88,2023,2,7
88,2023,5,3
88,2023,7,23
88,2023,8,11
88,2023,9,4
88,2023,10,7
88,2024,1,11
88,2024,2,7
88,2024,4,7
88,2024,5,3
88,2024,6,11
88,2024,7,7
88,2024,9,7
88,2024,10,7
88,2025,1,4
88,2025,3,7
88,2025,4,11
89,2022,4,15
89,2022,5,0
89,2022,9,36
89,2022,10,4
89,2022,11,0
89,2023,3,28
89,2023,4,20
89,2023,5,5
89,2023,6,10
89,2023,10,13
89,2023,11,1
89,2024,3,8
89,2024,4,5
89,2024,8,8
89,2024,9,5
89,2024,12,2
90,2022,5,70
90,2022,6,67
90,2022,7,27
90,2022,8,69
90,2022,9,68
90,2022,10,69
90,2022,11,9
90,2022,12,22
90,2023,2,17
90,2023,3,40
90,2023,4,1
90,2023,5,9
90,2023,6,7
90,2023,7,26
91,2022,4,21
91,2022,5,28
91,2022,8,11
91,2022,11,42
91,2023,5,38
91,2023,6,92
91,2023,7,1
91,2023,8,27
91,2023,9,20
91,2023,10,35
91,2023,11,40
91,2024,2,45
91,2024,3,24
91,2024,4,13
91,2024,7,15
91,2024,8,4
91,2024,9,40
91,2024,10,75
91,2025,4,10
91,2025,5,8
92,2022,9,83
92,2022,11,11
92,2023,4,165
92,2023,5,58
93,2022,4,2330
93,2022,5,244
93,2022,12,449
93,2023,2,183
93,2023,6,47
93,2023,10,303
93,2023,11,84
93,2023,12,76
93,2024,2,174
93,2024,3,133
93,2024,7,96
93,2024,8,825
93,2024,9,380
93,2024,10,285
93,2024,11,174
93,2024,12,86
93,2025,3,5
94,2024,12,1
94,2025,1,46
94,2025,2,17
94,2025,3,35
94,2025,5,109
95,2022,4,0
95,2022,5,483
95,2022,6,736
95,2022,7,523
95,2022,8,0
95,2022,9,159
95,2022,10,84
95,2022,11,11
95,2023,1,42
95,2023,2,79
95,2023,3,665
95,2023,4,309
95,2023,5,165
95,2023,6,82
95,2023,7,202
95,2023,8,93
95,2023,9,67
95,2023,10,157
95,2023,11,156
95,2024,1,167
95,2024,2,169
95,2024,3,242
95,2024,4,276
95,2024,5,94
95,2024,6,259
95,2024,7,204
95,2024,8,293
95,2024,9,116
95,2024,10,109
95,2024,11,135
95,2024,12,42
95,2025,1,457
95,2025,2,303
95,2025,3,691
95,2025,4,660
95,2025,5,289
96,2022,4,37
96,2022,5,35
96,2022,6,37
96,2022,8,0
96,2022,9,5
96,2022,10,76
96,2023,5,13
96,2023,9,0
96,2023,10,16
96,2023,11,1
96,2024,3,19
96,2024,6,80
96,2024,7,13
96,2024,8,4
96,2024,9,56
96,2024,10,35
96,2024,11,52
96,2024,12,0
96,2025,1,7
96,2025,2,1
96,2025,3,20
96,2025,4,15
96,2025,5,19
986,2022,12,76
987,2022,4,40
97,2022,10,0
97,2024,4,0
97,2025,2,1
97,2025,5,10
98,2025,2,86
98,2025,3,87
99,2022,8,123
99,2022,9,53
99,2022,10,55
99,2022,11,8
99,2023,9,47
99,2024,2,7
99,2024,3,26
99,2024,6,32
99,2024,7,0
99,2024,10,15
99,2025,3,59
99,2025,4,16
99,2025,5,3
100,2022,4,98
100,2022,5,35
100,2022,6,0
100,2022,7,11
100,2022,9,42
100,2022,10,21
100,2022,11,32
100,2022,12,28
100,2023,3,10
100,2023,4,6
100,2023,6,57
100,2023,7,17
100,2023,8,26
100,2023,9,1
100,2023,10,65
100,2023,11,26
100,2023,12,0
100,2024,1,0
100,2024,3,12
100,2024,4,0
100,2024,5,0
100,2024,6,14
100,2024,8,12
100,2024,9,1
100,2024,11,12
100,2025,2,3
100,2025,4,17
100,2025,5,8
101,2024,10,1
102,2022,9,1
102,2023,6,0
102,2023,7,25
103,2022,4,50
103,2022,5,14
103,2022,7,19
103,2022,10,24
103,2023,4,9
103,2023,5,55
103,2023,7,20
103,2023,8,20
103,2023,9,21
103,2024,4,25
104,2023,7,14
104,2025,1,14
105,2022,5,89
105,2023,4,32
105,2023,6,32
105,2023,9,43
105,2023,10,185
105,2023,11,25
105,2024,3,24
105,2024,6,29
105,2024,7,22
105,2024,8,24
105,2024,9,93
105,2024,10,25
106,2024,10,2
106,2024,12,1
106,2025,5,37
107,2024,11,41
107,2024,12,24
107,2025,1,105
107,2025,2,55
107,2025,3,138
107,2025,4,3
107,2025,5,108
108,2023,4,4
108,2023,5,144
108,2024,10,47
108,2024,11,7
108,2025,1,1
108,2025,3,102
108,2025,4,49
988,2023,2,20
109,2024,10,5
110,2022,4,53
110,2022,5,10
110,2022,6,153
110,2022,7,26
110,2022,8,63
110,2022,9,76
110,2022,11,54
110,2023,1,24
110,2023,5,58
110,2023,6,38
110,2023,7,77
110,2023,8,77
110,2023,9,38
110,2024,4,38
110,2024,8,36
110,2024,9,73
111,2022,7,3
111,2022,10,5
111,2023,9,17
111,2023,10,11
111,2023,11,13
111,2024,7,2
989,2025,4,8
112,2022,9,3
112,2023,2,1
112,2023,4,32
112,2023,8,2
112,2023,10,2
112,2024,3,1
112,2024,5,20
112,2024,6,0
112,2024,9,7
112,2025,5,13
113,2022,4,165
113,2022,5,40
113,2022,6,93
113,2022,7,52
113,2022,8,63
113,2022,9,88
113,2022,10,62
113,2022,11,103
113,2023,1,1
113,2023,2,36
113,2023,3,83
113,2023,4,86
113,2023,5,37
113,2023,6,95
113,2023,7,89
113,2023,8,91
113,2023,9,99
113,2023,10,105
113,2023,11,74
113,2023,12,26
113,2024,1,1
113,2024,2,11
113,2024,3,57
113,2024,4,144
113,2024,5,9
113,2024,6,21
113,2024,7,55
113,2024,8,36
113,2024,9,118
113,2024,10,256
113,2024,11,90
113,2024,12,57
113,2025,1,3
113,2025,2,131
113,2025,3,34
113,2025,4,75
113,2025,5,60
114,2022,4,85
114,2022,5,312
114,2022,6,186
114,2022,7,104
114,2022,8,79
114,2022,9,88
114,2022,10,101
114,2022,11,44
114,2022,12,39
114,2023,1,87
114,2023,2,71
114,2023,3,142
114,2023,5,39
114,2023,6,55
114,2023,7,135
114,2023,8,82
114,2023,9,43
114,2023,10,43
114,2023,12,307
114,2024,1,48
114,2024,2,35
114,2024,4,47
114,2024,5,19
114,2024,7,34
114,2024,9,58
114,2024,10,34
114,2024,11,45
114,2025,1,22
114,2025,2,22
114,2025,4,55
114,2025,5,48
115,2024,4,4
115,2025,2,25
116,2022,4,914
116,2022,5,1826
116,2022,6,468
116,2022,7,235
116,2022,8,274
116,2022,9,522
116,2022,10,582
116,2022,11,394
116,2022,12,71
116,2023,1,247
116,2023,2,335
116,2023,3,623
116,2023,4,310
116,2023,5,866
116,2023,6,749
116,2023,7,615
116,2023,8,286
116,2023,9,475
116,2023,10,1004
116,2023,11,318
116,2023,12,240
116,2024,1,195
116,2024,2,430
116,2024,3,473
