ID,ClientProfitCenterID,BudgetMonth,BudgetYear,Amount
672,168,12,2025,44
673,168,1,2026,76
674,168,2,2026,85
675,168,3,2026,110
676,57,1,2024,22
677,57,2,2024,44
678,57,3,2024,52
679,57,4,2024,61
680,57,5,2024,65
681,57,6,2024,65
682,57,7,2024,44
683,57,8,2024,36
684,57,9,2024,65
685,57,10,2024,65
686,57,11,2024,56
687,57,12,2024,18
688,57,1,2025,22
689,57,2,2025,44
690,57,3,2025,52
691,57,4,2025,32
692,57,5,2025,36
693,57,6,2025,37
694,57,7,2025,37
695,57,8,2025,31
696,57,9,2025,40
697,57,10,2025,39
698,57,11,2025,38
699,57,12,2025,17
700,57,1,2026,29
701,57,2,2026,33
702,57,3,2026,42
703,91,1,2024,20
704,91,2,2024,40
705,91,3,2024,47
706,91,4,2024,54
707,91,5,2024,58
708,91,6,2024,58
709,91,7,2024,40
710,91,8,2024,32
711,91,9,2024,58
712,91,10,2024,58
713,91,11,2024,51
714,91,12,2024,16
715,91,1,2025,20
716,91,2,2025,40
717,91,3,2025,47
718,91,4,2025,18
719,91,5,2025,20
720,91,6,2025,21
721,91,7,2025,21
722,91,8,2025,17
723,91,9,2025,22
724,91,10,2025,22
725,91,11,2025,21
726,91,12,2025,9
727,91,1,2026,16
728,91,2,2026,18
729,91,3,2026,23
730,41,1,2024,19
731,41,2,2024,38
732,41,3,2024,44
733,41,4,2024,51
734,41,5,2024,55
735,41,6,2024,55
736,41,7,2024,38
737,41,8,2024,31
738,41,9,2024,55
739,41,10,2024,55
740,41,11,2024,48
741,41,12,2024,15
742,41,1,2025,19
743,41,2,2025,38
744,41,3,2025,44
745,41,4,2025,23
746,41,5,2025,25
747,41,6,2025,26
748,41,7,2025,26
749,41,8,2025,22
750,41,9,2025,29
751,41,10,2025,28
752,41,11,2025,27
753,41,12,2025,12
754,41,1,2026,21
755,41,2,2026,23
756,41,3,2026,30
757,58,1,2024,16
758,58,2,2024,31
759,58,3,2024,37
760,58,4,2024,42
761,58,5,2024,45
762,58,6,2024,45
763,58,7,2024,31
764,58,8,2024,25
765,58,9,2024,45
766,58,10,2024,45
767,58,11,2024,39
768,58,12,2024,13
769,58,1,2025,16
770,58,2,2025,31
771,58,3,2025,37
772,58,4,2025,57
773,58,5,2025,63
774,58,6,2025,66
775,58,7,2025,67
776,58,8,2025,55
777,58,9,2025,72
778,58,10,2025,70
779,58,11,2025,67
780,58,12,2025,30
781,58,1,2026,52
782,58,2,2026,58
783,58,3,2026,76
784,105,1,2024,12
785,105,2,2024,24
786,105,3,2024,28
787,105,4,2024,33
